Name, Description, RecommendedSkills, Brands, Common, Red, Yellow, Purple, Teal
"Metatron","Highest grade demon with the unique skill Fire Of Sinai (FoS). FoS hits really hard with guaranteed 5 hits (+1 if you're using Eileen enabling you to activate her skills), and so quite amazing for boss killing. He comes naturally to boot with Infinite Chakra for extra mana so you would be able to spam tons of spells with him without needing divine brands. He's the hardest to fuse as the only combination to make him is Vishnu + Barong and for this reason i wouldn't fuse him away (regardless of his archetype, his base kit works wonders).","Endure, easily stacks with Enduring Soul further adding to his survival. Megido/Megidola/Megidolaon. For aoe sweeping, you can then use FoS to clean up/for single targets. Go Megido if you do pvp and want a turn one aoe, Megidolaon for turn 2 start/pve in general. Serial Killer/Butcher. Not only does it affect Aoe skills, it also affects Multi-Hit, so you can power up Fire of Sinai's damage considerably.","Brands: Spell/Divine, whichever you want.","Enduring Soul increases his survivability, ensuring he lives means ensuring he can kill. You can easily stack this with Endure to make him really hard to kill. This archetype is the hardest to obtain as you can't rely on gacha pulls to get components and must fuse from scratch (Unless you get lucky with Hell Buns).","Mahamadyne gives him an aoe to use (though is restricted to light). This is amazing for content such as Sloth 10 and Aura Gate.","Offensive Cry is a great offensive buff (granting Tarukaja and Rakunda), he can set up the damage buff leaving your other sweepers to then follow up, hitting as hard as possible. Sadly this is only usable for manual play, due to him being Attack AI he'd never use it on auto","Mana Gain/Bonus is sadly a bad skill in general, there isn't really any reason to save up to 12 mp.","Given he has resist elec in general, Repel Elec for one upgrades it, but it doesn't really do much. The only case where this would help is when facing Thor with Elec Pierce. Pair Metatron with Alilat and you can block elec sweeping. Its a pretty rare case and so it doesn't really warrant switching to Teal just for that purpose."
"Lucifer","Strongest almighty sweeper, ideally you'd want purple archetype (Butcher) to ensure he's as powerful as he can get. The reason for this is that he comes with the unique skill: Morning Star (MS). Given the fact it can be levelled as well it can reach really high numbers.","Resist Light. If not Teal to cover his weakness Endure. Pvp mainly for extra survival. Serial Killer to amp up his almighty damage.","Brands: Use Divine to ensure he can two turn Morning Star.","Vitality Amp III would increase his tankiness, but that is not his main role, he's best as dps.","Mind Blast gives him a upgraded Mind Break for support. You could use it to drain dangerous sweepers of their mp, but why do that when you can sweep them instead with MS/Megidolaon.","You wouldn't really expect him to survive last/be a tank and so Recarmdra doesn't have much use. People would generally aim for him first, so its unlikely he'd survive to the point where he can use this","Nothing else really beats Butcher. It is the only way to increase his sweeping damage due to Morning Star/Megidolaon being almighty.","Drain Light would only be better if you manage to have gotten a Butcher skill genome. It covers his weakness allowing him to be healed instead (You'd want to cover his weakness anyways and so Resist Light would work regardless). Personally if i ever got Butcher, i'd transfer it to another demon and have him as Purple (since the skill itself is really rare)."
"Vishnu","A Strong slow caster with the unique passive Avatar. This acts as an improved Enduring Soul + Life Aid combined into one (500 HP, 50% per wave. It's also levellable). He naturally also nulls light/dark and with his low agi and survival, he can be used in slower pvp teams + pve content such as Sloth 10, Aether farming.","Resist Fire. Covering weakness is always nice Endure/Enduring Soul. If you get these two together, he'd essentially survive 3 extra hits. Though that means enemies would focus fire fire on him.","Brands: Divine for Aragami, Life/Spell works for Protector","Mudodyne is a good skill on him. It gives him more coverage so that he now has Ice, Light and Dark","Megidolaon is the strongest obtainable almighty sweeping skill in the game. -1 MP goes a long way for this. Given his high magic, he'd also hit very hard with it.","Landing him a more defensive role, War Dance grants your team a 5mp cost Rakukaja + Tarukaja. Avatar would ensure he stays alive and War Dance would make your team take less damage and deal more.","Null Mute doesn't help him much, it will prevent his skills from being locked from mute. But when he's inflicted, you could always keep passing until its gone or just cure it (Mute isn't as dangerous as Charm/Bind)","As he naturally nulls dark, Repel Dark doesn't add much. It's an upgrade sure, but the only main use it has is if you pair him with Alilat (it'll prevent him from being swept by Black Frost's: Go To Hell!)."
"Yoshitsune","Immune to light and dark, resistant to phys attacks, has high strength, good agility and high luck to boot for criticals. He comes with the unique skill Hassou Tobi (8x random piercing hits), very useful for bosses and brand farming. Innate skills include Vorpal Blade and Mana Aid, making him amazing in Pve, Mana Aid gives him full MP recovery each wave so he can sweep and repeat with Vorpal Blade/Hassou Tobi.","Phys Boost/Amp. Give him more power. Bloody/Savage Glee. Give him more crit (if not purple) Good/Great Aim. If you find he's missing a lot this can help with accuracy issues. Though you should aim for accuracy % tertiaries from brands. Charge (Optional). To pull off stuff like the Templar Dragon strategy. Butcher. As multi-hit skills count as aoe, this can increase Hassou-Tobi/Vorpal Blade damage. Phys Amp, Boost, Butcher maximises his damage","Brands: War or Divine. Divine would be better for charge/pvp setups, for pve it isn't really needed","Enduring Soul would give him more survivability. Pair this up with Endure so he can take 2 extra hits before dying","Gigantomachia is a direct upgrade to Vorpal Blade, though i feel it is a waste having two aoes on him (Vorpal Blade works anyways). It goes out well with a HB/ZG setup however (due to not needing to worry about criticals) but even so i'd personally recommend the other archetypes over this. God's Hand gives him a powerful single attack skill. Most people replace this as Hassou Tobi can instead be used for bosses.","Charge allows you to ramp up your damage even further; a 5mp charge coupled with Templar Dragon's passive would hit really hard. Auto-Sukuka is a decent auto buff that increases your accuracy and evasion, allowing you to land/dodge hits more often.","Phys Amp boosts his damage greatly allow him to hit really hard, ripping them shreds (To shreds you say?) Savage Glee would add onto his crit rate meaning it'll be quite likely in you getting another turn.","Drain Phys allows you not to worry about reflected Phys damage and, greatly adding to his survivability (Though if he is charmed, he can hurt himself with Hassou Tobi, healing himself with the rest of his skills). Resist Ice can be replaced as he doesn't have an ice weakness."
"Mother Harlot","Comes with 2 unique skills: Death Lust (increased dmg to charmed enemies, chance to charm foes at the start of your turn), Babylon Goblet (BG) (almighty aoe skill which drains 1mp from each target hit) and Mana Gain. She punishes teams without Ward brands and in pve content has a chance to charm enemies every wave. Babylon Goblet is amazing at draining mp out of the enemy team (using her in a Jack Bros setup you can rob them of all their mana, preventing them from counterattacking)","Resist Force. She has a weakness that should be covered. Serial Killer/Butcher. Increases her BG damage since it's almighty based Endure. Gives her survivability.","Brands: Divine to spam Babylon Goblet. Some of the top players use Life to ensure she stays alive as long as possible. Spell if you want Babylon Goblet to do more damage, you'd always start off draining 4mp (effectively reducing its cost to 4 from 8, or 3 from 7 if you maxed it out), though the less opponents alive, the less effective it'll be in returning mana to her. Ward if you're worried of her being inflicted by ailments. Shield would be good otherwise.","Magic Amp III Increases her base magic, this can be decent if you're into min maxing and don't really care about the other archetypes","Deathtouch gives her a single target skill. Be wary though as if you don't use Divine brands, she'd use this over BG. Tetraka Shift helps when starting second, it prevents phys attacks though isn't as good as it used to be due to the prevalent use of pierce","Debilitate allows her to lend support your party (Though you still should be spamming Babylon Goblet when you can) through the best debuff in the game. Since double debuffs exist, Debiliate doesn't shine as much as its essentially the same with an extra debuff tacked on. Infernal Mask is amazing for her due to her natural high luck, greatly increasing ailment infliction/resistance. It also means you don't have to run ward (I would not replace this skill because of its usefulness and rarity)","Stacking Deadly Charm with her passive, would amp up damage done to charmed enemies (Have another demon spam charm to get the best out of it). Insanity will increase her chances of charming enemies overall (this will affect her initial charm passive i'm pretty sure)","Drain Phys is most useful when you have Rama with you (since she has Drain Elec as well), stopping piercing phys hitters and Thor from from sweeping you. Naturally she has Null Phys anyways and so prevents phys aoe in general. Makara Shift is nice defensively for when you start second in pvp."
"Trumpeter","Has no weaknesses and Nulls Light/Dark, he comes with Concentrate, Soul Drain and his unique skill Apocalypse (Almighty, hit all with chance to mute). Given his toolkit he can be used as an alternative on the Jack Bros sweeping team (easier to build compared to Ishtar, less expensive). People don't really run Memutudi as well so they'd waste press turns waiting for mute to go away. The best approach is running barrier break on a demon that acts before him to remove Ward.","Insanity/Madness. Increasing his chance of inflicting mute Endure/Enduring Soul. Gives him more chances do the Concentrate + Apocalypse combo. Serial Killer/Butcher. Increases his Apocalypse damage.","Brands: Divine/Ward. Apocalypse is costly, so be sure to get divine so you can two turn use it. Maxing it out would help with mp cost but this brand setup would still be good for when you want to Concentrate then Apocalypse as soon as possible.","Mahamakajamaon is bad on him. Since Apocalypse already comes with Mute, this skill is a waste.","Judgement would boost your damage though it'd be better just using Tarukaja/having another demon cast it. Evade makes him dodge more attacks which can be good for facing phys units (he naturally has pretty good agi).","Demon Birth Cry is situational and more defensive. Regardless the best approach is using Apocalypse, dealing damage and muting. Auto-Tarunda gives you a defensive head start, good for keeping him and your team alive. Pair this with Purple's Auto-Rakuka and you can easily survive counter attacks (when starting first)","Auto-Rakuka allows your party to start off with a defense boost, this is great in pvp for Jack Bros team setups. With Mute, defense up it's unlikely your team would fall. Trisagion is a powerful single target skill, it gives him something else to use if your team is walled off by Huang Long.","Resist Phys isn't that great. It increases his defense against standard phys attacks but since its not a weakness being covered it doesn't help that much Resist Fire follows the same logic. It's better using stuff like Tarukaja/Rakukaja for damage reduction as they cover all damage, not just a single element"
"Shiva","Strong phys unit built towards aoe, he comes with a unique skill Pralaya (aoe almighty damage based on his strength stat (Levellable with -2 mp cost, effectively reducing its cost down to 6)). He comes with Vorpal Blade and Serial Killer, a weaker version of Butcher but goes well with his two aoe skills.","Resist Ice. If you don't get Teal. Phys Boost. To increase phys damage Bloody/Savage Glee. To increase phys crit chances Endure. For survival Butcher. Stacks with Serial Killer for Pralaya/Vorpal Blade damage boosting","Brands: War if you don't mind waiting for mp to regen otherwise Divine.","Null Charm is decent on him due to rampant use of charm in pvp. With this you can drop Ward brands if you wish, he can still be inflicted by other ailments though.","God's Hand is a really powerful single target skill to use in cases where you can't sweep and want to set your sights onto a single demon (his main focus is still aoe anyways).","Rebellion isn't that great unless you really want to run him with Zaou Gongen (and don't have Hell Biker). Regardless you can instead use Pralaya on the cases where phys pierce doesn't work anyhows.","He has a decent agi stat so Evade can complement it. He comes with Resist Phys anyways so if he is hit by a standard phys attack he won't take much damage. This passive can come in handy when it comes to facing phys pierce demons like Mara, Huang Di or a Hell Biker/Zaou Gongen team.","Drain Ice covers his weakness and gives him drain fire, ice and elec. He'd be healed up by 3 elements which is quite amazing (This would go best with Rama). In covering his weakness you are then free to customize two slots."
"Mot","Mot is a tanky caster coming with Megidolaon, Mamudodyne and Harmonius Death, a really useful passive (Every second turn he gains 10% damage (cap = 50%) and an extra press turn). Naturally he repels Force and Dark, meaning if you pair him up with Alilat you can prevent Cu Chulainn + Black Frost sweeps. Given his unique passive, stats and the fact he also resists phys and fire he's a really good defensive demon in pve and pvp content. The longer he's left alive, the more dangerous the enemy team becomes. Note it takes two turns for a 10% jump and so it'd take 10 turns to reach 50%. This is unlikely to be reached in pvp but in pve content such as Kiwami this can prove quite useful depending on who you go up against.","Resist Elec. The intention is that he'd survive as long as possible to keep Harmonius Death up.","Brands: Divine would be good due to his costly skills if you want him to two turn them. Life if you don't really care about that and just want his hp to go as high as possible. Stack MAtk % if you want damage, Life% if you want survival.","Mana Gain gives raises his mp cap to 12. Useless in pvp and not that great in pve","Deathtouch gives him a single target almighty skill. You can be selective with your attacks but generally Megidolaon and Mamudodyne should be enough. Magic Amp III increases his spell damage further, this can be good for min maxing if you're not sure what else to run.","With Judgement he can enhance his support skills with an aoe that does damage and grants the party tarukaja. Given he's attack AI he can't act as a buff/debuffer to take advantage of skills like Fog/Acid Breath and War Cry so this is one way to make him a buffer at least. Auto-Rakuka is always nice to boost up your starting defence without having to spend a turn casting Rakukaja.","With his naturally pretty high life, Life Surge boosts it even higher. Since he wants to be alive for the extra press turn icon you can run Life Brands as well to stack his life up higher and higher. Enduring Soul gives him another life but you should expect him to survive a long time anyways in this archetype.","Null Phys prevents a majority of phys demons from doing damage to you (unless they're with HB/ZG). This can be useful for pvp but I'd say moreso for pve. Resist Elec covers his weakness so you save mag fusing Throne."
"Michael","Magic oriented demon (even though he has both equal magic and strength). Has the unique skill Soul Judgement (multiple hits, light) which makes him a really good demon for Sloth 10, Megidolaon for general sweeping and Life Aid for healing in between waves making him an effective pve demon.","Resist Dark. If not Teal to cover his weakness. Light Boost. To increase Soul Judgement's damage Serial Killer/Butcher. To increase both Soul Judgement and Megidolaon's damage","Brands: Divine if you want two turn Megidolaon, Spell for Soul Judgement spam.","Endure helps with his survivability. Purple would be better though as you can just transfer this skill (and it's relatively cheap).","Thunderclap gives him a powerful single target light skill. In pvp this can be really useful for demons such as Hecatoncheires or in Black Frost Kiwami","Mediarahan can make him an effective healer due to his high magic (only for manual play because his AI is Attack type he will never use it on auto)","Infernal Mask increases his ailment resistance. He has pretty low luck so it can patch up his resistance to ailments. I wouldn't recommend him as a ailment clearer though (Kinmamon/Yellow Persephone is better for that role).","Repel Dark covers his weakness and when paired with Alilat you can ignore Black Frost's Go To Hell skill. This saves you a slot in transfering resist dark and gives him immunity to 4 elements in total."
"Mara","Strong phys unit with a unique skill Hell Thrust (Gee i wonder why its called that), doing multiple hits and having a chance to charm enemies on hit. Naturally Mara has amazing strength and luck but is quite squishy so he can fall pretty easily. He's the only fusable demon in the game with Phys Pierce (Huang Di has it too but is gacha only) and so like the other pierce users in the game, Purple is his best archetype. He also comes with Null Bind (meh) and Titanomachia for sweeping.","Resist Ice. To give him protection. Phys Boost. So he can hit harder... faster... stronger... better.","Brands: Divine/Ward. Both Hell Thrust and Titanomachia costs 7 mp, so you can't two turn them with War. Though if you don't mind waiting, then War would strengthen his damage further.","Megaton Raid gives him a single target skill i guess. Even so go for Purple.","Mara is a physical unit so Soul Drain won't do much at all. Regardless so go for Purple.","Charge can be transfered and even with the -1 mp cost, it doesn't warrant being better than Purple","Phys Pierce means enemies cannot resist the might of Mara (Pierce just blows out all other archetypes out of the water).","Null Ice would cover his weakness, but then he wouldn't be able to pierce, it wouldn't be worth that cost."
"Izanami","A really strong magical demon with good survivability as well. She utilizes the unique skill Yomotsu Okami which, as long as she's alive Elec and Dark attacks do 10% more damage for all party members. This means she's useful for setups with demons such as Purple Thor (Elec pierce) and Black Frost (Go To Hell! has dark pierce attached to it). Even without them, she herself comes with Bolt Storm and Merciless blow meaning if you face a elec weak demon they'd get fried to a crisp.","Resist Fire. To cover her weakness Elec Boost. Goes well with Elec Amp, though if you take resist as well you'd be conjuring Bolt Storms all day and night. Dark skill. To take advantage of her passive Dark boost. Pair with Red or a dark skill if you don't want to cover her weakness.","Brands: Spell is fine since Bolt Storm doesn't cost much. For Aragami, Hell Gaze will cost 6mp, go with Divine if you want to use it off the bat in pvp. Life is also good since she's quite bulky.","Life Surge increases her tankiness, though this'll be the hardest to get unless you're in luck with hell buns or have tons of mag to fuse clear 5* demons.","Hell Gaze goes well with her unique passive and is quite powerful too, 180 power with -1 mp cost will hit hard.","Concentrate would pair up well with a single target skill (given she doesn't pierce).","Elec Amp boosts her elec damage even further. You would either stack this with Elec Boost + cover her weakness or cover her weakness and go with another skill","Repel Ice would go well with Alilat to prevent Purple Rama from piercing your team. She naturally has Null Ice however so this is not that great."
"Alice","Dark oriented unit with Mamudoon, Mudodyne and her unique Die for Me! (DfM) (Kills a single enemy, one use only). Yup, she can kill anyone she points her finger at and so she's really good for shutting down dangerous opponents and can hit hard provided they don't have dark immunity as that's all her base kit relies on.","Resist Light (If not Teal). she should have her weakness covered. Dark Boost. Increase her dark damage further, if you run it with Purple, then she's stuck with dark skills only (provided you covered weakness) Megido (If not Clear/Yellow). As she only uses Dark skills, Almighty can be used when you face dark immune/resistant opponents. Any other element would work too, but almighty would be best.","Brands: Divine/Ward helps you charge up for DfM as quickly as possible, though Spell would work as Mamudoon and Mudodyne both cost 6 mp only.","Soul Drain gives her a single target almighty skill, giving her more coverage. Since she's too reliant on dark this is good for when you face dark immune opponents.","She doesn't really need more dark skills so Hell Gaze wouldn't help much in that department. Sure it's an upgrade to Mudodyne, but it leaves less flexibility in your final skill slots (Mudodyne works well enough anyways). Glacial Blast enables her to use ice. Being multi-hit it would be good for bosses but can be stopped by ndr and so it's better generally to get single target to ensure you can land a hit or aoe if you know no enemies are immune.","Necro Dogma gives her an almighty skill to play with, also landing more of a support role (Necro Dogma has a Rakukaja effect) and giving her more coverage. It is quite a costly skill however, so if you want to make the most out of it, it's recommended running Divine brands with it. Epic Recovery is a rare skill, but currently is pretty bad. For defending yourself against ailments, its better to rely on preventing it rather than rng to cure it.","Dark Amp stacks up her dark damage, making it hit way harder Wild Instinct is pretty bad as well. Reducing crit damage taken is not that great (she also has quite high luck so won't be hit by crits that much in the first place)","Repel Light covers her light weakness, granting her immunity as well. She can pair well with Alilat to prevent Light and Dark pierce. Thunder Reign gives her a powerful single target elec skill, so it'll capitalize on her high magic stat and more coverage (which she really needs)."
"Huang Di","The most powerful hero in game with no weaknesses, high strength, high agility, luck, sporting 2 unique skills + Hades Blast. Superior Power (which boosts his accuracy and granting him Phys pierce (!!!) and Yinlong Killer, a sweeping phys skill which adds 50% with high power. With that skillset he's quite devastating in any content and this is probably why (him + Hell Biker/Zaou Gongen setup), you see a lot of anti-phys defense teams in pvp.","Phys Boost. Damage up, sweeping all day and all night Endure/Enduring Soul for more survival so he can bring the pain. Bloody/Savage Glee. If you want even higher chances for criticals Null Phys (If not Yellow). Prevents reflected damage from killing him Butcher. Pair with Phys Boost (or Amp if you're lucky) to increase his damage even further.","Brands: War to maximise his damage or Divine if you want to pull off turn 1 Hades Blast + have 2 turn Yinlong Killer spamming. Life can ensure he's bulky. You wouldn't really need Ward as Purple or pulled Teal but it can act as a safety harness. In that case Aim could be nice against evasion teams or Shield for magic defense.","Life Aid doesn't help that much with him. Due to innate resistances he can take a fair amount of damage, though i suppose this archetype would be better than Yellow's Salvation.","Berserker God is really good for taking out single targets. If you don't run divine, regardless you can turn one attempt to snipe an enemy. Auto-Taruka Saves you using another demon with it. If you have Ananta, then this skill can be replaced if you wish to","Salvation is not that good on him as he is not a caster (and it's too costly). It's unlikely he'd ever use it in auto. Null Phys is what makes this pulled archetype good (and is the only source of a Null resistance that is transferable). If his attack is repelled he won't die to the reflected damage and so you can sweep teams irregardless of Alilat + repel phys. I'd recommend shifting this to another archetype if you can.","Null Charm is amazing for pvp. If he's charmed then chances are he'll take down your own team due to his sheer power. Serial Killer will boost his aoe damage even further but can easily be replaced with Phys boost if you wish (10% vs 15%), or you could run both.","Repel Light prevents deaths via God's Bow, light sweeping (e.g. Mastema) and light piercing when paired with Alilat. Infernal mask ensures he's unlikely to be hit by ailments (I wouldn't recommend removing this due to its rarity and how useful it can be)."
"Huang Long","Arguably the best support demon in the game with resistance to all elements (minus dark, phys), Null Light + high stats (minus strength). His main use is Five Elements (5E) which is an improved version of Makarakarn, reflecting all spells including Almighty meaning only pierce skills/phys attacks can be used. Regardless of the archetype, i would recommend getting him as 5 Elements will make any content way easier. 5 Elements can be countered via Makara Break or Silent Prayer to remove it.","Endure. For pvp and survival Samarecarm. Gives you more support utility Barrier Break. Combine this with a Speedster HL for turn one ailment teams. On his subsequent turns he'd then spam 5E for survival. Speedster. If not Purple and you'd like the skill anyways its still a valid choice on him. A fair investment though as it is 10 skill points and requires you to fuse Kama (or if you're lucky have a Teal pulled Rakshasha). Null Phys. If you're going for the Teal Route, this can further bolster him for pve content and be a surprise for pvp. Dodge/Evade. You should build him for evasion, this just further enhances it. 5E to ignore magic and evasion to avoid physical.","Brands: Divine, you'd want to always have 5E up.","Life Aid doesn't help him that much. Given his innate survivability you wouldn't really expect this to do much.","Energy Drain gives him a single target attack. He's meant to be used for spamming 5E so this may throw a wrench in his ability to continuously spam it (given it has the same mp cost due to being an awakening skill). The most effective way to build him is for support not damage.","Luster Candy allows him to buff your party to boost all stats, what's not to love about that? This can however cause small issues in autoing as he'd likely use this over 5 elements, but in manual play is really amazing, extending his support kit to buffs as well. If you have Amaterasu, he doesn't really need this.","Speedster with his naturally high speed, this would allow your team to reach really high battle speed numbers, ensuring you act first. In pve content its always a good idea for your team to go first and so he helps in this regard greatly. Speedster can be transfered however so you can go with another archetype if you wish (you'd save a fair amount of mag when going with this one, unless you're lucky enough to pull Speedster).","Null Dark means he resists all elements and would be immune to Light and Dark. He can then block Alice, White Rider from one shotting him and naturally would also prevent Ixtab's instant kill (due to 5E). In Deceit 10, when 5E isn't casted he can make Metatron lose turns quite easily"
"Rama","OP demon with no weaknesses (Immune to fire, resistant to ice). Rama comes with Mabufudyne and 2 unique skills: Drain Pierce (Pierce has no effect on demons with Drain resistances, provided he's alive) and Brahmastra (Almighty hit all 3 times). He's the drain version of Alilat's effect and with Brahmastra, is effective against demons that have avatar/endure/enduring soul.","Endure/Enduring soul. As long as he's alive you want Brahmastra spam. Butcher/Serial Killer. The only way to boost his almighty damage, though butcher is only obtainable through Skill gacha. Serial killer can be gotten from Shiva. Ice Boost. If you're insistent on using him as an ice piercer, this can be boost up Mabufudyne's damage.","Brands: Divine. You want to spam spells so this is the only option really, Spell/Life is okay but then you won't be able to 2 turn skills in exchange for more damage/hp.","He's a magic attacker so Hades Blast has no use to him at all","Energy Drain is rather lackluster as you'd prefer using Brahmastra instead. Mana Aid makes him really good in pve, essentially you'd wipe out waves with Brahmastra, regain your mana, rinse and repeat. This would make him a really good demon to use in autoing provided he hits hard enough.","Luster Candy would give you another source of a full buff (Though that's better suited to Amaterasu/Huang Long), he won't use it on auto due to being Attack AI. Concentrate would allow you to use him in Jack Bros setups, charging up to deal high amounts of damage.","Though you'd want to spam Brahmastra, Ice Pierce would go through 5 elements saving you from bringing Makara Break/Silent Prayer. Ice Age could help for single targeting","Drain Ice is an effective counter to other Purple Ramas and can be useful against Makarakarn/5 Elements, Reflect a Mabufudyne off the shield to heal. Null Mute is not that great on him, so it can be replaced."
"Zaou-Gongen","One of the key pieces in the Rebellion + Pierce combo (Pair him with Hell Biker and let them go ham). This is due to his unique skill Kongo Zaou which enables demons with Rebellion (Might effect) to also have pierce attached to their phys attacks/skills.","Resist Elec to cover his weakness Phys Aoe skill if not red.","Brands: War/Divine. Divine would allow you to two turn God's Hand and enables transfering more expensive phys aoe skills (If Yellow)","Enduring Soul increases his survivability but doesn't help that much in this case. The main goal with him is to stack up damage to hopefully one shot pve waves/one turn pvp teams.","Herculean Strike is perfect for when you have Hell Biker with you, gives you a spammable phys sweeping skill to use.","Rebellion allows you to take advantage of his passive without Hell Biker, so he himself can still be a really effective phys demon.","He has okay magic so you can technically build him with spells in mind, Fire Amp would boost his Maragidyne damage up. But given there aren't that many fire weak demons (+ a fair amount of fire immune ones), this isn't that good.","Drain Phys is good if you have Rama, however his best friend is Hell Biker and a phys oriented crew to go alongside him."
"Alilat","Really good defensive demon to use, helping immensely vs piercing units (such as those that can be seen in AG). This is because of her unique skill Repel Pierce, ignoring the pierce effect on units that repel the attribute. She is easy/cheap to fuse, has no weaknesses and really high luck + Infernal Mask meaning she can inflict ailments quite well and be unlikely to be inflicted herself. Due to this you have a lot of freedom in picking how you want to build her, whether a debuffer, ailment caster, or even a healer role from what i've seen.","Samarecarm. For added support. Recarmdra. To surprise people in pvp and give your team a second fighting chance (Run divine in order to be able to use it). Aoe ailment skills except for curse and weak. Charm all, Bind all, Mute all are all valid (This is for pvp) War Cry/Fog Breath/Acid Breath, she can act as a tanky debuffer.","Brands: Divine for ailments or Life for general survival. Aim for HP%, or ailment % if you're using Ailment skills. PDEF % is also valid against phys pierce when you're fighting against Hell Biker teams.","Diarahan for single target healing. This is her only archetype so you're stuck with this anyways.","She's support type so in rare cases Soul Drain could be used. You'd want to build her towards support rather than damage anyways.","Mediarama gives her usable aoe healing (a step up from Diarahan i'd say). With this archetype you can easily build her as a healer.","Mana Gain doesn't help much and isn't that good of a skill in general","Null Phys would be useful for pve content, making her immune to phys attacks means she'd less likely be targeted and be more of a thorn in the enemy's side. Naturally she'd be able to block phys units such as: Seth, Siegfried, Zhong Kui, Nergal, Shiva, Ose from the top of my head."
