Name, Description, RecommendedSkills, Brands, Common, Red, Yellow, Purple, Teal
"Lakshmi","Demon with the highest magic stat in the game. She also comes with a unique skill Lotus dance (60% chance to charm all enemies), given her high luck stat she's almost guaranteed to inflict charm on the enemy team and so can be built as magic dps or ailment slinger.","Resist Force. if not Teal. Megido. To take advantage of her really high magic stat. Megidola/Megidolaon would be if you use Divine brands Madness/Insanity. If you really want guaranteed ailment infliction then you can transfer these too (though i think it may be a bit overkill). It would help against high luck demons like Zhong Kui, Dionysus, Alilat if its crucial that they are to be inflicted. Single target Ice. The main counter to ailments is Kinmamon and some people choose not to cover his weakness, if you could deal enough damage you could lock down their ailment clearer.","Brands: Divine to ensure turn one charms + if you do go with an aoe almighty skill, the ability to spam it. Life for Yellow if you want her to be more defensive. Sick brands are also good for a more slow but higher odds approach.","Mana Gain gives her more mp. Not useful at all sadly.","Killing Wind gives her a single target force skill, its okay but more coverage is always better. On the plus side you can single out enemies with it.","Defensive Cry (Tarunda + Rakukaja), gives her more of a support utility. It's an amazing defensive buff for keeping your team alive.","Insanity is another good choice in increasing her already really high ailment chance if you want to maximise it (perhaps you could even charm a certain rock). Personally i feel her charm chance is already high enough (you could always run ailment %/sick brands anyways), but this archetype is usable regardless.","Null Force will cover her weakness, giving you freedom in customizing the two skill slots."
"Ixtab","The opposite of a tanky demon as instead of surviving as long as possible she'd prefer to die for me due to her unique passive Yaxche. This activates only on the enemy turn as when she dies: her killer is hit by an almighty attack and is killed with a 100% success rate (same effect as White Rider/Alice). This bypasses Endure/Avatar/Enduring Soul, but doesn't activate if her team is wiped out/she's the last to die. On offense you can easily exploit the game's AI to target her by intentionally leaving her at level 1, or having the least defense/hp/mdef so they're tempted to kill her straight away.","Resist Light. Not for the purpose of reducing damage, but instead for not giving the enemy extra press turns. Madness. Good when combined with Yellow's Insanity its a good to go with her. Recarmdra, Samarecarm. Bring back allies if she's being targeted last Any other ailment skills like Charm, Mute, Weak, etc. Barrier break to remove barriers for ailment inflicting (though another demon can fulfil this role)","Brands: Divine, Speed, Spell, Lead combinations all work. Don't give her HP/def/mdef and instead focus on stats like Ailment Infliction, Ailment Resistance, Speed (If you want to act first), Matk % if you want to use her as dps.","Null Weak prevents a already not that good ailment from hitting her. If you build her up to resist ailments this would help in terms that rely on inflicting Weak.","Hell Gaze gives her a powerful single target dark skill. Paired with her gacha skill, you can run her as glass cannon. Assassin would boost up the damage of Hell Gaze and her innate Bufudyne as well.","Mahashibaboon sets her up as an ailment user (she naturally has pretty good luck for infliction). Insanity complements this and there's also the fact that levelling up her passive also increases her ailment infliction rate. Give her other ailments and she can pile them on the enemy team.","Berserker, usually bad (increase damage dealt, increased damage taken), but in her case has the opposite effect. Auto-Rakunda helps in swinging the offensive balance to your side (pair with Auto-Taruka for the best effect) on match start. You can build for magic as berserker would make her hit harder. She has low strength so don't bother with phys.","Null Light covers her weakness which is desired, you wouldn't want the enemy team to get extra press turns off her death (in case they kill her revivers). Mabufudyne gives her an aoe ice skill, its not really needed so up to you whether you keep it or not."
"Samael","Another 5* unit with access to Infinite Chakra. Naturally he also has pretty high stats (excluding strength), repels light and dark but has a elec weakness. He comes with Salvation (same heal amount as Mediarama + prayer effect attached to it, 3 uses), Mana Aid meaning he'd be a really effective pve demon and God's Malice a unique skill which can cause a myriad of ailments to a single target.","Resist Elec to cover weakness Megido/Megidola/Megidolaon. Taking advantage of his high magic stat and his large mp regen too you can use this for sweeping and God's Malice to lock targets down. High MP cost skills that you want to use on a support.","Brands: Divine to get 5mp regen or Spell maximising damage, Life making him beefy","Samael isn't meant to be a phys unit and so Death Counter wouldn't help him much.","Purgatory gives him a multi-hit dark skill, given his best Archetype is purple, this doesn't really compare to it.","Tetrakarn is not that great on him. If you really wanted this on him you can just go purple and obtain it from Azrael, the +1 mp gain would offset the non-awakened mp cost.","Infinite Chakra grants +1 mp regen and allows you to run him without divine brands. With divine brands you can spam out skills really easily and two turn Salvation.","He's weak to elec not fire and so Null Fire won't do much for him"
"Seth","Second highest ATK in the game (losing out to an angry red man), coming with Debilitate (All debuffs in one), Zandyne and his unique skill Ouas (really high single target phys damage, excellent crit rate, with an added 40% healing based on damage done). He's built to be a single target sniping unit.","Resist Fire if not covered by Teal. Phys Boost. Increase his damage further Aoe skill. Good for pve but not that good in pvp (unless you run HB/ZG with him) Bloody/Savage Glee. More added crit is nice, Ouas can become even deadlier against high luck opponents Good/Great Aim. If you feel he has accuracy issues, this can help patch it up.","Brands: Divine allows casting Debilitate and Nocturne easily and spamming Ouas more often for pvp. In pve, war and life work just as well.","Titanomachia with its added crit chance and accuracy upon levelling, can be a good sweeping skill for him if you don't want Hades Blast. Given it gets the -1mp cost treatment it'd cost the same.","Bleeder lands him more of a support phys role. If he's at max hp and you feel that the enemy is close to using a dangerous skill, -2 mp from this could help you swing the tides in your favour (or to keep applying pressure). Note that this is weaker than Ouas and doesn't get the added crit bonus too, but is cheaper to use.","Nocturne can add more support to him. Debilitate + Nocturne would ensure you have the most defensive advantage shifted to you. He is attack AI however and so won't use this on auto, only good for manual play.","Force Amp would boost his Zandyne damage, but he isn't meant to be a caster (due to his number two ranking in strength).","Resist Fire covers his weakness to fire, giving you freedom of customization."
"Barong","One of the worst 5* demons in game (Sharing that title with Lilith), due to having two weaknesses, a lackluster skillset, pretty bad archetypes and mediocre HP/Vit (He has good Agi/Luck at least). Mazionga, Bolt Storm won't do much damage with his low magic and so his unique skill Barong Dance (Aoe healing, same power as Mediarama + buff all effect) is what he has going for him, it sadly though it's restricted to 3 uses.","Resist Force. Cover his second weakness Resist Dark. If Yellow. Ailment aoe skill. Takes advantage of his luck stat which is pretty high Samarecarm. Added revive to his lackluster support kit.","Brands: Divine so he can two turn cast Barong Dance. Life can ensure he's more bulky","Endure is quite bad on him since you want to cover his weaknesses and so he'll be stuck with his dance, elec skills and nothing else extra.","His magic stat is too low to take advantage of Thunder Reign. It doesn't help that he already has two elec skills as well.","Recarmdra could be good as an emergency revive, use Barong dance for buff and recarmdra when your team has fallen","Elec Amp could help if he had higher magic, but given the case his elec skills would be doing low damage even with it.","Null Dark covers one of his weaknesses. Cover his force weakness and you at least get one slot to run whatever you like."
"Siegfried","An amazing physical attacker with no weaknesses, also draining phys. He utilizes Berserker God, Rebellion and a unique passive 'Arms Mastery' (+15% phys damage/phys hit rate, levellable) making him effective at hitting his target without any problems or repercussions from reflected attacks. Given he naturally has Rebellion, he's also good when paired with Zaou Gongen, granting him phys pierce whenever he uses it.","Aoe Skill. Since he doesn't come with one, Hades Blast is good. Phys Boost. for more damage Savage/Bloody Glee. For more criticals if you can't be bothered using Rebellion Endure if using Enduring soul to stack it up.","Brands: War/Life or Divine, he works fine with either. Divine will allow you to turn one Berserker God for pvp.","Hes good at surviving combat and so Life Aid is useless on him. In pvp it doesn't do anything at all for his kit.","Maxing out Titanomachia would help in hitting evasive demons such as Garuda and Yatagarasu. Since an aoe is given to you, you then have two free slots to customize whatever you want. Great Aim would add even more accuracy to his attacks, this should enable him to still hit even when the enemy has the evasion advantage with Sukunda/Sukukaja.","Charge is nice but you'd waste a lot of turns setting up both charge and rebellion. Auto-Sukunda is good but again his accuracy is already pretty high. If you want to replace it, Yatagarasu is another source with that auto skill.","Enduring Soul adds to his survivability, stack this with Endure to give him an extra two hits until death. Myriad Arrows is nice for bosses, though people prefer to just give him an Aoe instead as he has Berserker God already.","Null Force makes him completely immune to Susano-o as it blocks all of his sources of attacks. It can also block Rangda's Mazandyne and since a lot of demons have force in their kits it can shut down a lot of sweeps. Resist Dark can be replaced as it won't really do much on him"
"Ananta","Ananta's main use is seen in pvp due to his auto buffs: Auto Sukuka, Rakuka, (and Taruka when purple). He has Amazing stats: high health, vitality, agility meaning he'd be good at tanking. Also is immune to ice, elec and light which is pretty cool (weak to force). He is the only 5 star in the game without a unique skill, given his use this is fine anyways.","Resist Force to cover weakness Acid Breath/War Cry/Fog Breath. You can then ensure you got all buffs and debuffs up to swing the tables early onto your side. Barrier break. If you don't feel like running a double debuff/have it already covered. Though after barriers are gone, he'd just spam attack and heal.","Brands: Life or Divine. You wan't him to be as tanky as possible and survive. Divine to spam double debuffs, Life for more hp in general.","He's not meant to be a caster and so Holy Wrath won't do much on him. He has pretty good magic however so you can go that route if you want. Holy Wrath isn't that good though.","Mabufudyne gives him a aoe ice skill, but he's moreso suited for support. He'd be stopped in his tracks if there is a ndr ice demon.","He has pretty low luck so won't be able to take advantage of Mahapoismaon much. Even so poison is not that good of an ailment.","Auto-Taruka ensures all 3 auto-buffs come from him and you wouldn't need another demon for for auto-taruka.","He already nulls ice so Drain Ice wouldn't really do much. It can be used to counter Purple Rama if you pair him with a Rama, but that's a niche use anyways."
"Surt","The only source of Fire Pierce, but not that good of a demon as a fire weakness isn't that prevalent. He's mainly seen either with a purple archetype for Fire Pierce or Clear for Intimidating Stance. He comes with a unique skill Ragnarok which is another single target sniping skill (getting 20% damage based on Phys Attack). It will take a lot of investment, but you can get Ragnarok to rain down the norse apocalypse on enemies (It's one of the most powerful skills in the game, 215 base power). With brands prioritized towards Matk %, Phys% secondaries, a maxed out Ragnarok (5 Kasanes required), you can reach pretty high numbers with him.","Resist Ice. To cover weakness Endure. Can work for pvp survival Fire Boost. If you want Ragnarok to be stronger","Brands: Divine and MATK% if you want to spam Ragnarok with Purple or War/Life and PATK% for Berserker God damage with Clear.","Intimidating Stance is for pvp mainly, removes a press turn if your opponent goes first. He is generally paired with Zhong Kui (In levelling quests if you run 2x intimidating stance, you'd always act first).","His magic is too poor to run other spells, Maragidyne included. You'd want pierce anyways","Goodbye Lydia Surt, hello Rattle Surt. This is still terrible on him as it has low base power, is too expensive and sukunda wouldn't even help him much given you want to spam ragnarok,","Fire Pierce enables you to choose any target you like to hurl Ragnarok at.","Null Ice can cover his weakness yup, but like the case for Mara, Pierce (or intimidating stance) is too good to pass up."
"Thor","Quite tanky, has high strength and if purple is our Elec Pierce unit making him able to be built towards phys or magic. He comes with a unique skill Mjolnir hitting 4-5 times with elec damage. Pair him up with Eileen to take advantage of her bonuses. He also has quite nice resistances, resisting phys and light, nulls fire and drains elec. Though on auto he'd attempt to charge a lot so he's better for manual play.","Resist Force. To cover his weakness. Elec Boost. To boost mjolnir damage Phys Boost. If you're running Red","Brands: Divine (focus on MATK% for purple, PATK% for red) so that he can spam Mjolnir/Gigantomachia.","He gets Maziodyne added to his kit, even so Purple is the way to go for our hammer bro.","If you really don't care about elec pierce, he can be a effective phys unit. Gigantomachia is the strongest phys sweeping skill in the game and so -1 mp for it can be really good. His stat spread helps a lot with its damage as well.","Rebellion isn't that great on him since he already comes with charge.","Elec Pierce enables him to rain down lighting to anyone and everyone who doesn't bring along Alilat/Rama. Mjolnir hits really hard and against bosses can strike them down swiftly.","He already nulls fire and so Repel Fire is for the sole purpose of countering Surt (run him with Alilat). Not many people use Surt anyways and so this archetype doesn't serve much use."
"Asherah","One of the tankiest healers in the game with high magic, hp and vitality stats. She however comes with two weaknesses and so you'd need to invest a fair amount to cover it. She has Mediarama for party healing, maragion and a unique skill Mother's Creation which is essentially Samarecarm + Lydia combined into one.","Resist Dark Resist Ice. If not teal. Samarecarm. If Teal to give her another revive skill.","Brands: Divine is mandatory to ensure you can two turn heal.","Sea of Chaos could be useful on her since you're building her Matk% up for greater healing. It'd act as a good offensive skill as it'll damage and reduce enemy defenses.","She already has Maragion and so Trisagion wouldn't add to coverage, you can selectively choose your targets now at least.","Silent Prayer allows her to cure ailments/remove shields, barriers, etc. This skill would be most effective on units who are speedy and act first. Asherah is slow and so if your entire team is ailment stricken and you're relying on her to cure it, they would've wasted turns before she could cure them.","Recovery Amp boosts her healing even further. But then the other slots should be used for covering weaknesses meaning no extra skills to add. You'd get this if you want her to be focused purely on healing.","Repel Ice covers one weakness, giving you the ability to customize the last remaining slot."
"Mastema","High magic and is oriented towards light, making him very useful in Sloth 10 farming. He comes Judgement Light, binding cry and the unique skill Trial Of Hate: an aoe light attack that applies random debuff only when the attack successfully hits all targets. As he repels force and light he naturally goes well with Alilat, get a Teal Mastema and you can additionally repel ice, preventing ice pierce. Mastema also has naturally high luck and so has lesser chances of receiving crits and can be a ailment caster if you wish to use him that way.","Resist Fire. To cover his weakness Megido. If you plan to use him outside of Sloth 10 and want more coverage Single Target Element (besides light) can help with coverage too. Light Boost. If you want to only use him in Sloth 10 or in fights where the enemy isn't immune to light.","Brands: Divine, means more journeys into the Trial of Hate. You can also turn one cast it if you max it out.","Mana Gain doesn't help much. It's not recommended going with this archetype.","He gains Ice Age which can help with his coverage, 180 power with the same cost as Bufudyne.","Though i did say he can be used as an ailment caster, a single target Makajamaon won't be able to do much. If you want to run ailments, go with aoe ones instead.","Light Amp further strengthens his kit, amplifying the intensity of his Trial of Hate and Judgement Light.","Repel Ice gives him another element that he can reflect, though the only ice pierce unit in the game is Purple Rama, so its quite a niche use."
"Amaterasu","One of the best buffers due to her unique skill Tenson Kourin (TK), it has the same effect as Luster Candy but casts Dekunda beforehand so you'd always have 3 buffs on you whenever you cast it. Naturally she repels fire and resists light (weak to elec), comes with Maragion, Tarunda also has really high magic for healing and magic damage. You could build her as a buffer + healer (Yellow) or buffer + whatever you like (Teal).","Resist Elec. If not Teal to cover weakness Samarecarm for more support Megido/Megidola/Megidolaon. Can be a damaging spell to take advantage of her magic Any other magic element","Brands: Divine for two turn Tenson Kourin casts and Mediarahan when Yellow.","Auto-Sukuka can work okay on her, but Tenson-Kourin would be your goto source for buffing/clearing debuffs anyways.","Trisagion gives her a single target fire skill, she already has Maragion so if you do want to use her as a caster it'd be better getting another spell for coverage.","Mediarahan is a very good healing skill and is only usable with the reduced MP cost (8). This makes her a really good support/healing unit, though on auto the AI can be quite funky in making decisions with her.","Magic Amp III increases her base magic for min maxing. She has better archetypes to use, but you can run this if you want a dps oriented Amaterasu.","Null Elec covers her weakness, allowing you to mold her into another role, since you'd have two slots to customize."
"Ishtar","Second strongest caster in the game with Mahamaon, Diarahan and her unique skill Mesopotamian Star: almighty aoe casting Tarukaja and Tarunda when it lands. She's mainly used for a sweeping Jack Bros team in pvp with Yellow Archetype but can also be used in Sloth 10 due to having Mahamaon. She comes with two weaknesses however so there isn't that much customization available, in her case its not really needed as Mesopotamian Star should be more then enough.","Resist Dark. To cover her weakness Resist Force. If not teal Whatever you like if Teal, her base kit is technically good enough. You can go Endure for survival or another element as well if you wish.","Brands: Divine for Jack Bros setup with her Yellow version. Spell can work for Teal.","Samarecarm gives her a revival skill. This is really easy to transfer (through Isis) and even so she's better suited as dps rather than support/healer.","Thunderclap gives her a Hecatoncheires slaying skill (plus for Sloth 10 too). If you don't want to use her in a Jack Bros team this is an okay route to take since Mesopotamian Star handles coverage.","Concentrate allows her to work with Templar Dragon + Jack Bros strategies to nuke. When she does nuke the tarunda effect would help mitigate counter attack damage (in the case you don't finish them off).","Tetraka Shift used to be great in pvp but due to the rise of phys pierce its not prevalent anymore. There's also the fact she's not really meant to be a defensive demon, being squishy she can fall easily and with healing ai she'd prioritize diarahan over dealing damage.","Null Force covers a weakness and gives you the freedom to customize another skill slot. If you're planning to transfer concentrate, yellow would still be better because of the -1mp cost it entails"
"Susano-o","Single target sniper with really high strength but all round mediocre stats as his kit contains Assassin (+10% bonus damage for single target skills), Mortal Jihad and Kusanagi. Kusanagi being his unique skill is fully boosted by Phys ATK and when it lands (single target force) casts Tarukaja. This means most of the time you'd have a damage buff active.","Resist Fire. To cover weakness Force boost. Increasing Kusanagi damage further","Brands: Divine to ensure you can first turn Kusanagi/Mortal Jihad in pvp and spam it more in general. Though War will increase his damage way more for pve, Life if you want survability.","Strength Amp III will further boost his damage for min-maxing. Boosting strength will increase Kusanagi damage as well as Mortal Jihad for enemies immune to force. Given his other archetypes aren't that great, this is the best route to take with him for maximising damage.","Bleeder gives him more of a support skill. Even so its generally better to use Kusanagi and Mortal Jihad when required. The extra crit and accuracy on Mortal Jihad can mean the death of enemies, as well as the Tarukaja effect on Kusanagi.","Charge would ramp up his Mortal Jihad damage, but his main appeal is in Kusanagi, this isn't really needed for him","In pvp everyone covers their force weakness due to him and Cu Chulainn existing. Merciless Blow would be beneficial for small cases in pve where the enemy is weak to force but for the most part force is generally covered.","Drain Elec, when paired with Rama, allows him to stop Cu Chulainn and Thor in their tracks as their pierce will have no effect on him. Both Thor and Cu isn't seen much on defense teams and regardless you'd have to cover his fire weakness."
"Nergal","Phys oriented demon who can be paired with Chernobog to produce devastating results. He has amazing strength, agility and luck so he can dish out hits, crits all day. Naturally he has Berserker God and two unique skills: Meslamtea (+20% accuracy, casts rebellion whenever an enemy is poisoned), Pague of Babylon (Casts Barrier Break then Weak all with 80% infliction rate). With these two unique skills he can also be paired with Zaou Gongen to give his attacks a pierce effect. You'd use him to remove barriers first then inflict weak on enemies, once they're weakened they can easily be poisoned which results in him getting Rebellion. An aoe skill is desired of course in order to sweep.","Resist Ice. Cover his weakness, or not if you want to maximise his damage potential Phys Boost. To increase his damage even further Deadly Poison. Goes well with his passive. Aoe skill. If not Red, can help with sweeping","Brands: War works fine since he doesn't have any costly skills. Divine if you want a more costly aoe.","Strength Amp III would boost his strength for min maxing, nothing that spectacular","Hades Blast gives him the desired aoe with a cheap 5mp cost too. Savage Glee grants him more criticals, though this isn't needed if you're going for poison.","Toxic Sting naturally complements his passive. Assuming the enemy has no barriers and have been weakened, you can Toxic Sting, inflicting poison then have Rebellion casted on yourself. Rinse and repeat. Auto-Sukuka helps in landing hits and increases evasion too so that's always a plus but can be replaced if you have Ananta.","Auto-Taruka is okay on him, but since there are other demons with access to it, its better leaving it to them. Strength Amp III would be good for min-maxing though he'd be better off having his weakness covered + aoe (or phys boost).","He naturally resists light so Null Light, though upgraded won't do much. Resist Ice covers his weakness, so this saves you from fusing an expensive Odin."
"Black Frost","Dark sweeper the unique skill Go To Hell! (GTH), dark aoe with 80% curse effect (that also pierces). He comes with a unique Jaki trait passive Curse Of Anguish which reduces damage taken and increases damage towards cursed enemies. He also has Mabufudyne for ice sweeping too (but his main focus should be dark in all honesty).","Resist Light to cover weakness Dark Boost to strengthen GTH. Deadly curse could also work, but it's reliant on the enemy being cursed in the first place so you'd need to set it up with another demon or just use GTH, on subsequent casts it would be stronger.","Brands: Divine so he can spam his skills since it costs 7mp for Mabufudyne/GTH.","Maragion increases his coverage for the case where there is Alilat/Rama + a Repel/Drain dark unit","Hell Gaze isn't that great on him due to being another dark skill (this time lacking pierce). GTH would generally be better due to the attached curse effect on it too.","Concentrate allows him to charge up to do damage making him another possible demon to run on Jack Bros teams.","Ice Amp would boost his Mabufudyne damage greatly, this can be useful for when you can't use GTH though that should be a rarity.","He naturally resists fire and so Null Fire won't do much for him."
"Cu Chulainn","Recommended sweeper and first 5* demon to fuse in the game. With Force Pierce (Purple only) and Mazandyne he can sweep any pve content like crazy. He also has no weaknesses so you get to mix and match a variety of skills. His main weakness however is his low agi and luck, meaning he can be critted quite easily and won't dodge much physical hits.","Force Boost. To increase his damage further Force Amp. If you got lucky and got it in the skill genome Endure. For pvp if you want survival Mazan. To finish off enemies/enables first turn aoe cast in pvp Zanma L. If you want a single target skill on him (Though this'll lock him into just casting it for pve though, he'd never save up for Mazandyne)","Brands: Divine or Spell is valid. Divine allows him to two turn Mazandyne and spam magic more in general.","Rebellion isn't that good for him as he should be built as a spellcaster as Purple.","Killing Wind gives him a single target force skill, without pierce though this wouldn't do that much.","Since he falls quite easily Recarmdra is a joke on him, its meant for more tanky units.","Force Pierce allows him to ignore resists with his Mazandyne. Pierce is always amazing.","Repel Dark won't do much for him. He doesn't have any weakness and so he doesn't need the dark repel."
"Quetzalcoatl","Demon that can be built to be tanky due to his resistances (He resists all except for ice and elec and is weak to dark, Teal gives him Repel Phys). His base kit consists of Maragidyne, Mazandyne and Ce Actis' Return (unique skill). It acts in the same manner as Recarmdra except its user doesn't die. This is coded to behave like Samarecarm so Quetz will try to cast it as soon as he sees at least one ally dead (so you can take advantage of the AI in that regard). Mainly used for pvp and when paired with Alilat (when Teal) he can stop phys sweepers from taking down your team and bring them back to life when they fall too.","Resist Dark. Cover that weakness Samarecarm. Gives you another resurrection shot. Endure. Gives him more survival as if your team is swept, he can survive and bring everyone else back. Mind Break. He'd annoy people by draining their mp though i'm not sure whether he'd even try to save up for Ce Actis' for this case.","Brands: Life, He needs to be tanky and ideally the last demon to fall, so that he'd bring back everyone else. Divine can work too to ensure two turn Ce Actis' casts.","Poison isn't that dangerous of an ailment and so Null Poison won't help at all","Given he's a Attack AI demon Mahamadyne would give him more coverage (he'd then have 3 elements). This would be good for Aura Gate farming, but Teal is always preferable for pvp.","Concentrate would be a strange choice on him. Sure you can use him as a caster, but he doesn't have any unique skills to take advantage of concentrate (don't think i've ever seen anyone run him with this).","Auto-Tarunda can be viable for him if you intend to run him as a dodge build. This is heavily rng though as enemies can stack accuracy % and land aoes on your team.","Repel Phys allows him to deal with pesky Phys units, when paired with Alilat. It also makes him really hard to kill in pve content."
"Orcus","Demon designed and built for tankiness with two unique abilities centering around weaknesses: Law of Hell prevents the enemy team from getting extra press turn icons when a weakness is hit, whilst Hell's Gate grants damage reduction depending on the number of weak attributes your team has (3% per weakness, max 30%). Naturally he comes with War Cry for debuffing and 2 weaknesses himself, meaning by default you get a 6% damage reduction bonus (though this applies only to aoe/multi-target skills). Pairing him with Hecatoncheires would grant you an extra 15% damage reduction and if you don't cover Hecaton's weakness then in total they share 27% damage reduction. So if you do cap out on damage reduction (by bringing demons such as Slime, Abraxas, Arahabaki, etc) this brings it up to a total of 45% essentially halving all damage done. With this strat however, single target skills will still do standard damage to you.","Samarecarm/Recarmdra to bring back allies since your goal is to keep him alive as long as possible Dekaja to be a counter against Ananta buffing via Tenson Kourin/Luster Candy","Brands: Life ensures he survives as long as possible, though Divine can work too so that he can spam out War Cry as much as possible and two turn Samarecarm/Recarmdra skills.","Tetrakarn isn't that great in today's climate because of phys pierce, there are better archetypes suited to him compared to this.","Mamudoon is not too good for him since he's not good for Magic DPS (He's Support AI anyways). Auto-Tarunda is a good skill however, so if you pulled him as Red, i'd recommend switching to another archetype, keeping Auto-Tarunda.","Nocturne is another supporting skill to use to enhance your team's defense and evasion. Coupled with the Tarunda effect from War Cry, once both buffs are up you'll be taking quite miniscule aoe damage. Null Bind is okay and not that great, you can replace it.","Tetraka Shift can stop first turn phys, giving you one turn of breathing room, though in higher pvp people generally bring pierce phys demons anyhows. Hell Gaze is pretty bad using the same reasoning as Mamudoon.","Null Phys makes him immune to phys attacks which is really good in pve, in pvp it can have its uses as well for blocking damage from phys demons such as: Siegfried, Seth, Zhong Kui, Shiva (provided he doesn't Pralaya), Yoshitsune. When facing a Hell Biker team, you may be able to survive long enough for all 3 uses of Red Zone wear off, making him immune to their team, as they are oriented towards aoe phys. Vitality Amp III can be replaced unless you don't have any other skills you want to run."
"Garuda","Speediest demon in the game and really squishy. He has high luck and magic meaning he's built for evasion and turn one kill pvp teams. Repelling Fire and Nulling Force means he'd be really useful in Vanity 10 where the final boss there is Quetzalcoatl with Mazandyne and Maragidyne. Naturally he also comes with Auto-Rakunda and Vanaha (+15% evasion, +30% ailment resistance) further solidifying those points before. Given the ailment resistance boost he'd have low chances of being affected by ailments. Garuda in pvp can be used to help face against Hell Biker defense teams, with the highest agility in game + the bonus to evasion, he should be able to easily dodge phys attacks. Take Yellow for Fog Breath and somehow get sukukaja onto your team to ensure you won't get hit.","Resist Ice. Optional, on the one hand covering his weakness would prevent opponents from getting extra turns, on the other he'll die anyways so at least they'd only get one extra turn. Megido for sweeping Magic aoe for sweeping, i think Megido would work best for coverage","Brands: Divine since we want to be sweeping as quickly as possible. This will allow you to turn 1 Megido in pvp. Go for Spell Type if you wanna use him for Vanity 10 (you can then go with Mamudo). Building evasion is another way to go as aforementioned.","Magic Amp III increases his damage, this is good but Purple's Berserker increases it way more","Maragidyne gives him a fire aoe to use alongside Zandyne.","Fog Breath is good for increasing evasion against the more phys inclined teams. This reduces the chances of you being hit and damage dealt by dangerous phys demons such as Huang Di, Mara, Siegfried, etc and at the same time increases hit chances of your own demons.","Berserker gives +10% damage, +20% taken. He's going to die anyways so might as well boost his damage? You'd be aiming for sweeps.","Null Light would make him immune to 3 elements, naturally he resists light and dies quite easily anyways."
"Lilith","Along with Barong she's another 5* which is not so good. She has two weaknesses meaning you'd need to cover them (and she'd be costly to invest into). She comes with a unique skill Allure that does dark damage to all and has a 35% chance to charm, this would be pretty good if only there weren't so many enemies immune to dark. Her pretty high luck means the charm would probably stick if enemies are hit, but with such a low base chance it doesn't help that much.","Resist Force. To cover her weakness Resist Light. If not Teal. Megido for more coverage Dark boost for more allure damage","Brands: Spell/Life. Allure isn't that costly at all which is nice (6 mp cost), you can opt for Divine if you like.","Insanity can be used to boost her charm chance. Compared to Luck Amp III, its a 5% difference.","Mind Break is a easily transferable skill that can only be gotten from gacha though. Not really worth it as an awakened skill due to being the weakest single target skill in the game (Its for support rather than damage).","Samarecarm gives her a cheaper revive, she can utilize it as a support ai demon at least.","Luck Amp III increases her luck, adding increased crit chance, ailment resistance, infliction, accuracy, dodge and reducing chances of crits taken in turn.","Null Light covers one of her weaknesses leaving you free reign over the final slot (provided you also cover force weakness)."
